รหัสเพลย์ลิสต์,รหัสช่อง,เวลาที่สร้าง,เวลาที่อัปเดต,ชื่อ,คำอธิบาย,ระดับการมองเห็น
PLNFK4dgXAIf8l_nyFSnF-y54CU6m3hvlT,UCO7ZhQJx-8ehfnZbgtOYZrA,2018-11-30 15:19:28 UTC,2020-11-30 04:55:26 UTC,Sawano off-vocal,,ไม่เป็นสาธารณะ


รหัสวิดีโอ,เวลาที่เพิ่ม
BAbleQgr494,2018-11-30 15:19:28 UTC
Jz2ant6dvtI,2018-12-01 11:23:28 UTC
MRjPvboSQng,2020-01-22 03:17:13 UTC
mn4mMNjss80,2020-01-29 07:13:29 UTC
e0w24j3-1ao,2020-03-18 13:07:19 UTC
hj-wvNCA09o,2020-07-07 12:14:33 UTC
9CVI52odwJQ,2020-11-10 17:09:14 UTC
4ZgkmAXivFA,2020-11-13 08:10:40 UTC
